ID_enunciado,ID_hablante,Tipo,archivo_wav,texto_aimara,texto_español,tipo_evidencialidad,duracion_seg,snr_db,calidad_audio,genero,edad,dialect_region
33,SPK00033,auto_dialogo,SPK00033_00033.wav,"Jichhurux kuna urusa?, Jichhurux ñanqha uruwa, Jurpurux kuna urunisa?, Jurpurux inti uruniwa.","¿Hoy que día es?, Hoy es viernes, ¿Pasado mañana que día será?, Pasado mañana será domingo.",cotidiano,10.09,35,buena,M,30,norte
34,SPK00034,auto_dialogo,SPK00034_00034.wav,"kuna pachasa?, Suxta alwat tunka phisqhani k’atanakaw saraqxi, Akax kuna juyrasa?, Juphawa.","¿Qué hora es?, Son las 6:15 de la mañana, ¿Esto qué alimento es?, Es quinua.",cotidiano,8.47,35,buena,M,30,norte
35,SPK00035,auto_dialogo,SPK00035_00035.wav,"Akax tunquti?, Janiwa, ukax jawasawa, Apillanisktati?, Jisa, apillanisktwa.","¿Esto es choclo?, No, eso es haba, ¿Todavía tienes oca?, Sí, todavía tengo oca.",cotidiano,9.32,35,buena,M,30,norte
36,SPK00036,auto_dialogo,SPK00036_00036.wav,"Kuna manq’s munta?, Nayax kaltu muntha, Jumasti?, Nayax saxta muntha.","¿Qué comida quieres?, Yo quiero sopa, ¿Y tú?, Yo quiero sajta.",cotidiano,6.84,35,buena,M,30,norte
37,SPK00037,auto_dialogo,SPK00037_00037.wav,"Kunampis phayañani?, Ispi challwampi, tunqumpi, ch’uqimpi, wayk’ampi phayañax.","¿Con que hay que cocinar?, Con ispi (pescado), maíz, papa y con ají hay que cocinar.",sufijo_-ampi,9.56,35,buena,M,30,norte
38,SPK00038,auto_dialogo,SPK00038_00038.wav,"Kuna laq’usa?, Ukax tamuyarawa, Kayut ustam?, Janiwa, purakaw usutu, Kauqats ustama?, Aqachaqaw usutu.","¿Qué insecto es?, Eso es abeja, ¿Te duele el pie?, No, me duele el estomago, ¿Qué parte te duele?, Este hueso me duele.",sufijo_-wa,13.73,35,buena,M,30,norte
39,SPK00039,auto_dialogo,SPK00039_00039.wav,"Kunarsats ustam?, Waliti ustam?, Jisa, waliw usutu, Kunats ustam?, Manq’asina usutu.","¿Desde cuándo te duele?, ¿Te duele mucho?, Sí, me duele mucho, ¿Por qué te duele?, Me duele por comer, Por comer",cotidiano,10.47,35,buena,M,30,norte
40,SPK00040,  auto_dialogo,SPK00040_00040.wav,"Khitiraki?, Tatajawa, Jupasti?, Jupax awichajawa, Jikisiñkama kullaka, Jikisiñkamay kullaka.","¿Quién es?, Es mi papá, ¿Y él?, Ella es mi abuela, Hasta luego hermana, Hasta luego hermana.",cotidiano,11.07,35,buena,M,30,norte
41,SPK00041,auto_dialogo,SPK00041_00041.wav,"Juman sutimax kunas kullaka?, Nayan sutijax Mirian, jumansti?, Nayax Noemi satatwa.","¿Cuál es tu nombre hermana?, Mi nombre es Mirian, ¿y de ti?, Yo me llamo Noemi.",cotidiano,0.8,35,buena,M,30,norte
42,SPK00042,auto_dialogo,SPK00042_00042.wav,"kunjamasktas Noemi, Janiw walikti, Kunas kamachi, kunas ustam?, Janiw kunas uskituti, Amparamaru, kunas mich’intam?, Ch’ampariw mich’intitu, ukat juk’akiw usutu.","¿Cómo estas Noemi?, No estoy bien, ¿Qué pasó, qué te duele?, No me duele nada, En tu mano, ¿qué te ha picado?, Me ha picado el sancudo y me duele poco.",cotidiano,15.68,35,buena,M,30,norte
43,SPK00043,auto_dialogo,SPK00043_00043.wav,"Nayax manq’añ munttha, Jan manq’amti, Ukax, kuna manq’asa?, Akax thimpu manq’awa, kuna manq’s munta, Nayax uka thimpu muntha.","Yo quiero comer, No comas, ¿Eso qué comida es?, Esta comida es timpo, ¿qué comida quieres?, Yo quiero esa comida.",cotidiano,13.07,35,buena,M,30,norte
44,SPK00044,auto_dialogo,SPK00044_00044.wav,"Kuna pachas tatamax purinini?, Chika uruw jupax purinini, Tatamax khitisa?, Tatajax Teófiluwa, Jupax kuna luririsa?, Jupax conecciones eléctricas luriri, tatamasti?, Tatajax qulliriwa.","¿Qué hora llegara tu papá?, Medio día él llegará, ¿Quién es su tu papá?, Mi papá es Teófilo, ¿Él a qué se dedica?, Él es electricista, ¿y tu papá?, Mi papá es médico.",cotidiano,18.03,35,buena,M,30,norte
45,SPK00045,auto_dialogo,SPK00045_00045.wav,"Isipax kuna saminisa?, Janq’u saminiwa, tatamansti?, Isipax laramawa, Nayax manq’iri sarä, Sarxañäni, ","¿Su ropa de qué color es?, Es color blanco, ¿de tu papá?, Su ropa es azul, Yo iré a comer, Vámonos pues.",cotidiano,13.92,35,buena,M,30,norte
46,SPK00046,auto_dialogo,SPK00046_00046.wav,"Aski urukïpan jilata, Aski urukïpanay kullaka, Kamisaki jilata?, Waliki kullaka,  Juman sutimax kunasa jilata?.","Buenos días hermano, Buenos dias hermana, ¿Cómo está hermano?, Bien hermana, ¿Cuál es tu nombre hermano?.",cotidiano,10.73,35,buena,M,30,norte
47,SPK00047,auto_dialogo,SPK00047_00047.wav,"Nayan sutijax Eusebiowa, Jumansti kullaka?, Nayan sutijax Yessicawa, Akax kunasa?, Ukax aychaw kullaka.","Mi nombre es Eusebio, ¿Y tú hermana?, Mi nombre es Yessica, ¿Qué es esto?, Eso es carne hermana.",cotidiano,11.16,35,buena,M,30,norte
48,SPK00048,auto_dialogo,SPK00048_00048.wav,"Qawqha maranitasa jilata Eusebio?, Nayax pä tunka llätunkani maranitwa, Jumasti kullaka Yessica, qawqha maranitasa?, Nayax kimsa tunka maranitwa jilata.","¿Cuántos años tienes hermano Eusebio?, Yo tengo 29 años, ¿y tu hermana Yessica, cuántos años tienes?, Yo tengo 30 años hermano.",cotidiano,12.34,35,buena,M,30,norte
49,SPK00049,auto_dialogo,SPK00049_00049.wav,"Qawqha jilatanitasa?, Nayax phisqa jilanitwa, Jumasti kullaka?, Nayax pusi jilanitwa.","¿Cuántos hermanos tienes?, Yo tengo 5 hermanos, ¿Y tú hermana?, yo tengo 4 hermanos.",cotidiano,7.89,35,buena,M,30,norte
50,SPK00050,auto_dialogo,SPK00050_00050.wav,"Tatamax qhawqa jilanisa?, Tatajax kimsa jilaniwa, Qawqha phisinitasa jilata?, Janiw phisinikti, jumasti kullaka qawqha phisinitasa?, Nayax pä phisinitwa.","¿Tu papá cuántos hermanos tiene?, Mi papá tiene 3 hermanos, ¿Cuántos gatos tienes hermano?, No tengo gatos. ¿Y tú hermana, cuántos gatos tienes?, Yo tengo 2 gatos.",cotidiano,13.85,35,buena,M,30,norte
51,SPK00051,auto_dialogo,SPK00051_00051.wav,"Jumax kuna luriritasa jilata?, Nayax jakhuritwa kullaka, jumasti kullaka kuna luriritasa?, Nayax aljiritwa jilata.","¿Tú qué haces hermano?, Yo soy contador hermana ¿y tú hermana, qué haces?, Yo soy vendedora hermano.",cotidiano,9.56,35,buena,M,30,norte
52,SPK00052,auto_dialogo,SPK00052_00052.wav,"Jilata kayuw usutu, Kunjamas ustam?, Juk’akiw usutu, Kunats ustam?, Anuw kay achuqitu, Qullasitaw kullaka.","Hermano el pie me duele, ¿Cómo te duele?, Poquito me duele, ¿Por qué te duele?, El perro me ha mordido el pie, Te vas a curar hermana.",cotidiano,12.03,35,buena,M,30,norte
53,SPK00053,auto_dialogo,SPK00053_00053.wav,"Jichhax kuna manq´s munta?, Nayax seguntu muntha, jumasti jilata?, Nayax p’isqi muntha.","¿Hoy que día es?, Hoy es viernes, ¿Pasado mañana que día será?, Pasado mañana será domingo.",cotidiano,7.43,35,buena,M,30,norte
54,SPK00054,auto_dialogo,SPK00054_00054.wav,"Kullaka kawkinkis uywanakamaxa?, Uywanakajax utajankiwa, Kuna saminis phisimaxa?, Phisijax janq´umpi ch´iyarampiwa.","¿Hermana dónde están tus animales?, Mis animales están en mi casa, ¿De qué color es tu gato?, Mi gato es de color blanco y negro.",cotidiano,10.46,35,buena,M,30,norte
55,SPK00055,auto_dialogo,SPK00055_00055.wav,"Jilata kuna phaxsinktansa?, Taypi sata phaxsinktanwa, Kullaka urumax kuna phaxsinkisa?, Urujax llumpaqa phaxsinkiwa.","¿Hermano en qué mes estamos?, Estamos en el mes de octubre, ¿Hermana en qué mes es tu cumpleaños?, Mi cumpleaños es en el mes de agosto.",cotidiano,10.67,35,buena,M,30,norte
56,SPK00056,auto_dialogo,SPK00056_00056.wav,"Jilata jichhurux kuna urusa?, Jichhurux ñanqha uruwa, Kullaka wasurux kuna urunsa?, Wasurux illap urunwa.","¿Hermano qué día es hoy?, Hoy es viernes, ¿Hermana ayer qué día era?, Ayer era jueves.",cotidiano,11.07,35,buena,M,30,norte
57,SPK00057,auto_dialogo,SPK00057_00057.wav,"Jilata qharurux kuna urunisa?, Qharurux samaña uruniwa, Jilata kuna pachasa?, Suxta alwat tunka paqallquni k’atanakaw saraqxi, Aljiri sarä, Jikisiñkamay kullaka.","¿Hermano mañana qué día será?, Mañana será sábado, ¿Hermano qué hora es?, Son las 06:17 de la mañana, Iré a vender, Hasta luego hermana.",cotidiano,16.65,35,buena,M,30,norte
58,SPK00058,dialogo,SPK00058_00058.wav,"Kuns lurta, Nayax qhath sarta, Khitimpis sarta, Kullakamampiwa. ","¿Qué hiciste?, Yo fui al mercado, ¿Con quién fuiste?, Con tu hermana.",cotidiano,6.84,35,buena,F,23,sur
59,SPK00059,palabra,SPK00059_00059.wav,"yusa,tujtura, uspitala, uphisyala, phiskala, karsila, lunisa, riluju, juwisa","Dios, doctor, hospital, oficial, fiscal, cárcel, lunes, reloj, juez.",cotidiano,14.46,35,buena,F,25,sur
60,SPK00060,plabra,SPK00060_00060.wav,"Arjintina, Pirü, Wuliwya, Chili, Parawaya, Iwrupa, Ispaña.","Argentina, Perú, Bolivia, Chile, Paraguay, Europa, España.",cotidiano,9.54,35,buena,F,25,sur
61,SPK00061,palabra,SPK00061_00061.wav,"Pumat’a, Jilawi, Axura, Sipita, Qhilluyo, Yunkuyu, Muqiwa, Arikipa","Pomata, Ilave, Ácora, Zepita < Sipita, Kelluyo, Yunguyo, Moquegua, Arequipa.",cotidiano,10,35,buena,F,25,sur
62,SPK00062,palabra,SPK00062_00062.wav,"Riwuyu, Sisa, Miyila, Uskara, Mariya, Ilutiya, Karlu, umaru.","Gregorio, César, Miguel, Óscar, María, Eleuteria, Carlos, Omar.",cotidiano,9.52,35,buena,F,25,sur
63,SPK00063,palabra,SPK00063_00063.wav,"Sapataki, naya, juma, jupa, jiwasa.","singular, yo, tu, el, nosotros.",cotidiano,5.56,35,buena,F,25,sur
64,SPK00064,palabra,SPK00064_00064.wav,"Waljanitaki, nanaka, jumanaka, jupanaka, jiwasanaka.","Plural, nosotros, ustedes, ellos,vosotros.",sufijo_-ka,7.82,35,buena,F,25,sur
65,SPK00065,oración,SPK00065_00065.wav,"Kullakajaxa uma umaski, Taykaxa mank'a aljaski, Phisixa aycha lunthati.","Mi hermana está tomando agua, La abuela está vendiendo comida, El gato roba carne.",cotidiano,11.30,35,buena,F,65,sur
66,SPK00066,oración,SPK00066_00066.wav,"wawanakaru celulara yatichtha, Jupax anuru mank'a churi. ","A los niños por medio del celular los enseño, Él/Ella da comida al perro",cotidiano,6.41,35,buena,F,65,sur
67,SPK00067,dialogo,SPK00067_00067.wav,"Khitirus juph aljta, Mama Rosaruw juph aljta, Kullamatakit is apanirapi, Jisa, jupatakiw apanirapi.","¿A quién vendiste la quinua?, Vendí la quinua a doña Rosa, ¿Ha traído ropa para tu hermana?, Sí, ha traído para ella.",cotidiano,12.84,35,buena,F,65,sur
68,SPK00068,dialogo,SPK00068_00068.wav,"Kuns lurta, Nayax qhath sarta, Khitimpis sarta, Kullakamampiwa. ","¿Qué hiciste?, Yo fui al mercado, ¿Con quién fuiste?, Con tu hermana.",cotidiano,8.35,35,buena,F,65,sur
69,SPK00069,dialogo,SPK00069_00069.wav,"Jupax um umiti, Janiw jupax um umkiti, Jumax ch'uq altati, Janiw nayax ch'uq alktti.","¿Él/ella bebe agua?, No, él/ella no bebe agua, ¿Compraste papa?, No, no la compré.",cotidiano,10.04,35,buena,F,65,sur
70,SPK00070,auto_dialogo,SPK00070_00070.wav,"Nayax uta sarati, Jumax uta saranttati, Jupaxa uta saraniti, Jiwasaxa uta sarañani.","¿Yo voy a la casa?, ¿Tú/vos vas a la casa?, ¿Él/ella va a la casa?, ¿Nosotros(as) vamos a la casa?.",cotidiano,9.65,35,buena,F,65,sur
71,SPK00071,auto_dialogo,SPK00071_00071.wav,"Jumanakaxa uta sartapxta ti, Jupanakaxa uta sartapxi ti, Jiwasanakaxa uta sartapxtan ti.","¿Ustedes van a la casa?, ¿Ellos(as) van a la casa?, ¿Nosotros(as) vamos a la casa?.",cotidiano,9.92,35,buena,F,65,sur
72,SPK00072,auto_dialogo,SPK00072_00072.wav,"Juliox parlaskiwa, Jiwasaw Europar sartan.","Julio está hablando, Nosotros/as vamos/fuimos a Europa.",cotidiano,4.81,35,buena,F,65,sur
73,SPK00073,dialogo,SPK00073_00073.wav,"Jumax ch’uq altati, Jisa, nayax ch’uq altwa, Janiw nayax ch’uq alktti.","¿Tú compras papa?, Sí, yo compro papa, No, no compro papa.",cotidiano,5.90,35,buena,F,30,sur
74,SPK00074,dialogo,SPK00074_00074.wav,"Jumax ch’uq altati, Jisa, nayax ch’uq altwa, Janiw nayax ch’uq alktti. janiw jilaja ali","¿Tú compras papa?, Sí, yo compro papa, No, no compro papa. mi hermano compra",cotidiano,7.10,35,buena,F,65,sur
75,SPK00075,dialogo,SPK00075_00075.wav,"Uksan juphat tunquch achu, Juphaw achu, Khayast awayut kunacha, Khayax awayuwa.","¿Por ese lado produce quinua o maíz?, Produce quinua, ¿Aquel es un aguayo o qué es?, Aquel es un aguayo.",cotidiano,11.40,35,buena,F,65,sur
76,SPK00076,oración,SPK00076_00076.wav,"Nayaxa celulara taypita yatichtha, Jisk’a yuqallanakaxa suma sixurïpxi.","Yo enseño a los niños por medio del celular, Los niños pequeños dibujan bonito.",cotidiano,8.28,35,buena,F,65,sur
77,SPK00077,oración,SPK00077_00077.wav,Yatichirixa yamphi qulla mallkita yatiyatayna. Aukinaka taykanaka aymara aurna waruripxäni.,"El profesor había investigado sobre varias las plantas medicinales, Los padres de familia cantarán en idioma aimara.",cotidiano,11.06,35,buena,F,65,sur
78,SPK00078,oración,SPK00078_00078.wav,"Uka tawaquxa chupika piluta takitayna, Khaya waynaxa ma larusiña yatiyawi qellque.","Esa señorita había pateado la pelota roja, Ese joven ha escrito un chiste.",cotidiano,9.30,35,buena,F,65,sur
79,SPK00079,oración,SPK00079_00079.wav,"Llatunka marani imillaxa qulluna t’ijüni, Taykaja jisk’a uwixanakapa panpana jakhü.","La niña de nueve años correrá en el cerro, Mi madre cuenta en el campo sus ovejas pequeñas.",cotidiano,9.22,35,buena,F,65,sur
80,SPK00080,oración,SPK00080_00080.wav,Suxtiri yatiñankiri yatiqirinakaxa futbula yatiqaña utana anatapxatayna.,Los niños del sexto grado habían jugado futbol en la escuela.,cotidiano,6.88,35,buena,F,65,sur
81,SPK00081,oración,SPK00081_00081.wav,Khaya yatiqirinakaxa phunchawina wali suma thuqupxï.,Esos estudiantes bailan bien bonito en la fiesta.,cotidiano,4.91,35,buena,F,65,sur
82,SPK00082,oración,SPK00082_00082.wav,"Nayax ch’uqi manq’twa, Jumax uma umt’ta, Jupax Paris-an irnaqi, Phisixaxa aycha lunthati, Nayax wawanakaru yatichtha.","Yo como papa, Tú bebes agua, Él/Ella trabaja en París, El gato roba carne, Yo enseño a los niños.",cotidiano,13.59,35,buena,F,65,sur
83,SPK00083,oración,SPK00083_00083.wav,"Jilatajaxa Cusco-ru sari, Awkix jawira q’umachiri sariri, Kullakaxaxa isi alji, Nayax suma uta altha, Jisk’a anunakaxa anati  ","Mi hermano va a Cusco, Mi papá va a limpiar el río, Mi hermana vende ropa, Yo compro una casa bonita,  Los perritos pequeños están jugando.",cotidiano,14.98,35,buena,F,65,sur
84,SPK00084,palabra,SPK00084_00084.wav,"yusa,tujtura, uspitala, uphisyala, phiskala, karsila, lunisa, riluju, juwisa","Dios, doctor, hospital, oficial, fiscal, cárcel, lunes, reloj, juez.",cotidiano,13.97,35,buena,F,65,sur
85,SPK00085,palabra,SPK00085_00085.wav,"Arjintina, Pirü, Wuliwya, Chili, Parawaya, Iwrupa, Ispaña.","Argentina, Perú, Bolivia, Chile, Paraguay, Europa, España.",cotidiano,9.27,35,buena,F,65,sur
86,SPK00086,palabra,SPK00086_00086.wav,"Pumat’a, Jilawi, Axura, Sipita, Qhilluyo, Yunkuyu, Muqiwa, Arikipa","Pomata, Ilave, Ácora, Zepita < Sipita, Kelluyo, Yunguyo, Moquegua, Arequipa.",cotidiano,13.06,35,buena,F,65,sur
87,SPK00087,palabra,SPK00087_00087.wav,"Riwuyu, Sisa, Miyila, Uskara, Mariya, Ilutiya, Karlu, umaru.","Gregorio, César, Miguel, Óscar, María, Eleuteria, Carlos, Omar.",cotidiano,11.99,35,buena,F,65,sur
88,SPK00088,palabra,SPK00088_00088.wav,"sapataki, naya, juma, jupa, jiwasa.","singular, yo, tu, el, nosotros.",cotidiano,6.82,35,buena,F,65,sur
89,SPK00089,palabra,SPK00089_00089.wav,"Waljanitaki, nanaka, jumanaka, jupanaka, jiwasanaka.","Plural, nosotros, ustedes, ellos,vosotros.",cotidiano,7.86,35,buena,F,65,sur
90,SPK00090,oración,SPK00090_00090.wav,"Kullakajaxa uma umaski, Taykaxa mank'a aljaski, Phisixa aycha laubrunasij, Nayaxa wawanakaru celulara yatichtha, Jupax anuru mank'a churi ","Mi hermana está tomando agua, La abuela está vendiendo comida, El gato roba carne, Yo enseño a los niños por, Él/Ella da comida al perro.",cotidiano,14.90,35,buena,F,20,norte
91,SPK00091,oración,SPK00091_00091.wav,"Kullakajaxa uma umaski, Taykaxa mank'a aljaski, Phisixa aycha laubrunasij, Nayaxa wawanakaru celulara yatichtha, Jupax anuru mank'a churi "," Kullakajaxa uma umaski, Taykaxa mank'a aljaski, Phisixa aycha laubrunasij, Nayaxa wawanakaru celulara yatichtha, Jupax anuru mank'a churi ",cotidiano,15.74,35,buena,M,50,norte
